lat,lon,description,address,url,town,county,name,batteries,metal,cardboard,paper,glass,plastic,fluorescent_bulbs,green_waste,cooking_oil,e_waste,automotive_fluids,tires,vehicles,waste_water,compost,cloth
45.760377,-108.552043,,"451 Charles Street, Billings MT",http://www.earthfirstaid.com/,Billings,Yellowstone,"Earth First Aid Curbside Recycling, Inc.",yes,yes,yes,yes,yes,yes,,,Cooking Oil,yes,yes,,,,,
46.400883,-105.822646,,"805 S Haynes Ave, Miles City MT 59301",http://www.emi-mt.org/Pages/Recycling.aspx,Miles City,Custer ,Eastern Montana Industries,,yes,yes,yes,yes,yes,,,,,,,,,,
45.82576,-108.405248,,"1560 Coulson Rd., Billings MT",http://emeraldrenews.com/,Billings,Yellowstone,Emerald Services,,,,,,,,,,,yes,,,yes,,
47.56823,-111.453598,,"172 N. Manchester Rd, Great Falls MT",http://emeraldrenews.com/,Great Falls,Cascade,Emerald Services,,,,,,,,,,,yes,,,yes,,
46.597548,-112.000517,,"2222 Boulder Avenue, Helena MT",http://emeraldrenews.com/,Helena ,Lewis & Clark,Emerald Services,,,,,,,,,,,yes,,,yes,,
46.880631,-114.002592,,"900 Phillips Street, Missoula MT",http://emeraldrenews.com/,Missoula,Missoula,Emerald Services,,,,,,,,,,,yes,,,yes,,
48.216708,-114.234591,,"31 Preston Dr, Kalispell MT",,Kalispell,Flathead,Enviro-Tire Inc.,,,,,,,,,,,,,,,,
47.07176,-109.371263,,"26 Corbley Rd, Lewistown, MT 59457",http://co.fergus.mt.us/index.php?option=com_content&view=article&id=8&Itemid=117,Lewistown,Fergus,Fergus County Regional Transfer Station,yes,yes,yes,yes,yes,yes,,yes,,,yes,,,,,
48.098573,-114.087398,Drop-Off Site,"141 Swan Hwy, Bigfork, MT 59911",http://flathead.mt.gov/waste/index.php,Big Fork,Flathead,Flathead County Solid Waste District,,,yes,,,,,,,,,,yes,,,
48.374606,-114.209186,Drop-Off Site,"1073 Best Way, Columbia Falls, MT 59912",http://flathead.mt.gov/waste/index.php,Columbia Falls,Flathead,Flathead County Solid Waste District,,,yes,,,,,,,,,,yes,,,
48.184494,-114.113064,Drop-Off Site,"241 Broeder Loop, Kalispell, MT 59901",http://flathead.mt.gov/waste/index.php,Creston,Flathead,Flathead County Solid Waste District,,,yes,,,,,,,,,,yes,,,
